Name,Code,Revenue
ჯი ენ ემი,401949898,118777
ჯი ბი ელ,404406139,118501
შპს ბრიტანული ცენტრი,404393081,118029
შპს აგრონეტი,400033913,117350
კვანტ-ელექტრონიკს,205084674,117267
ganateba 2011,446952986,116805
ჯორჯიან გრუპ,412678222,116720
მარკეტინგული ცენტრი ტერრა მედია,205222515,116026
დიდგორი,404380736,114939
ჯი - ემ - ეს,204453313,113513
შპს ტერაგრაფიკი,205190595,113448
შპს Urban Motors,401971185,113000
ბათუმის სამშობიარო სახლი,245428434,112424
შპს მეტრი,205045645,112164
ბრენდჰაუზი,205223006,112000
ა-პრო,400012375,111934
აი-ეს-აი ავტო,205232782,110205
გორმშენი,218036391,109554
ბიზნეს პარკი,215140103,109450
ერ-დი ჯგუფი,202461754,109224
შპს გუნგლი,225068271,108254
დგთ,404379784,107908
ელკალიტა,406054987,107367
მეგავეტი,443854651,107340
ბეარინგ.ჯი,205254598,106825
სისტემები,202324225,106680
დაჩი  გრუპ,200243218,106441
შ.პ.ს მ.გ,412676947,106439
შპს ალგეთელები,430797248,106309
პონტო,215082345,105943
შპს აბტ ინტერნეიშენალ,205224256,105912
არგადესი,230095875,105748
შპს ბაკურ სულაკაურის გამომცემლობა,204931164,105600
შპს ტექნოკომპარკი +,205255007,105473
შპს ვორლდ სერვისი,202251080,104524
M ავტო,416290864,104408
ზებრა,205291575,104400
ვივა ჯგუფი,200273453,104130
გამომცემლობა კოლორი,208149859,103784
GIOX,404889162,103025
შპს ჯორჯიან ტექნოგრუპი,412687560,102996
ალტერნატიული უსაფრთხოება,205204535,102934
ავტო სტილი,236095845,102300
შპს უჯრედული ტექნოლოგიებისა და თერაპიის ცენტრი,205284093,102065
უნივერსალ ტექნიკსი,400009959,102000
ჯეპრა,206130239,100985
შპს უნი ინვესტი UNI INVEST,205285519,100278
ნიუ პაუერ,401962872,99909
იროთი,205260411,99499
ბეიკერ ტილი ჯორჯია,211325056,98700
შ.პ.ს.ავტოსატრანსპორტო საწარმო ავტოსერვისი,221286917,98506
შპს ავიაკომპანია გლობალ აირ,406034198,98400
ჯეი პი ეი ფინანსაუდიტი,200032810,98185
ივერია -  2004,200100381,97993
შ.პ.ს კამარა,404419973,97865
ბიარტი,202463636,97740
ელ-დკ,216452283,97550
შპს ნატახტარის წყლები,205289855,97164
მაკაგონი,400001467,96787
შპს GANAXLEBA,448047532,95890
საქართველოს სამშენებლო კომპანია,204991090,95531
შპს სტილ სერვისი,202459302,95401
სხივი,400003893,94369
შპს გაზ-ენერჯი,205242245,94095
შპს დოქტორ ზაუბერი,205194350,91999
ჯორჯიან ჯენესის,205268743,91900
აუთდორ სეილ,204576280,91164
სტერეო+,204986408,90000
თამბაქოს კონტროლის ჩარჩო კონვენციის იმპლემენტაციისა და მონიტორინგის ცენტრი საქართველოში,206138302,89300
შპს ფრიშოპ.ჯი,404387356,88791
შპს კორამედი,204918544,87414
შპს ნიუ თაიმ 2011,424065950,87094
შ.პ.ს. სააგენტო სერვის ცენტრი ტ.გ.მ,206030418,86535
ბაგ ელექტრონიქს,205265078,86100
შპს მონმოტორსი,445397874,85920
შპს ვაჟი,233147305,85702
შპს დილის პროდუქტები,204516194,85579
იმერეთი-98,204915841,84928
MW,416296261,84802
აეროსოფტი,404383421,84590
ს.ს მ. ასათიანის სახელობის ფსიქიატრიის სამეცნიერო კვლევითი ინსტიტუტი,212002660,83448
შპს R-deluxe,401965897,82999
პრაიმ თაიმი,202334508,81080
სამშენებლო კომპანია ოდი,205259664,80870
საქართველოს საოჯახო მედიცინის პროფესიონალთა კავშირი,205017694,80000
ჯეუ გრუპი,205251537,79999
შ.პ.ს. ოაზისი-2008,243918105,79799
თამარიონი-2002,204438787,79644
შპს აისბერგი,404921527,79500
გლობალ პროექტი,204551715,79400
შპს ჰორიზონტ-ეირი,204403412,79285
კავშირი ბი-სი-ჯი-კვლევა(სოციოლოგიური კვლევითი ცენტრი),204968525,78288
საზოგადოებრივ ინიციატივათა ჯგუფი,205278929,77600
შ.პ.ს. ვალო,441554462,77234
ევროპარკი,202267983,77000
საქართველოს ქაღალდის წარმოება,206169297,76840
სოციალური კვლევისა და ანალიზის ინსტიტუტი,204939950,76000
კავკასიის ტექნიკური სერვისი,205244065,75622
მამული 2010,406040314,75535
ბიდიო,205145403,75520
ჯბატ GBAТ,404407628,75157
შ.პ.ს.ყაზბეგის სატრანსპორტო გაერთიანება,441483048,75157
ტელეკომპანია მე-5 არხი,225357878,74970
რანდი,248385867,74499
შპს თბილისი - 95,202893324,73557
ჰოლდინგი საქართველოს მედიის გაერთიანება,205161572,73500
სპექტრი,406035188,73159
ენერგოსექტორმშენი,404880081,72999
შპს ჯენერიკი,204422954,72873
მაიჯიპიეს,205216176,72860
თ & კ,404406932,72384
ლუსულა,205080749,72376
შ.პ.ს ტაო,222717353,71541
ფინანსური მართვის ჯგუფი,205279660,71100
აჭარის ა.რ. ხელბურთის რეგიონალური ფედერაცია,245603173,70500
შპს მადლი,426109383,70488
თი ბი უნივერსალი,404384493,70387
შპს პურის სახლი,245421609,69810
ბალავარი,239869282,69552
შპს აუდიტორული კომპანია პროფესიონალი,200262973,69499
მულტიტესტი,205025676,68830
არგო-2005,245529094,68500
სადაზღვევო კომპანია პარტნიორი,205224675,68494
აითი-ნოლიჯი,204993187,68442
შპს  ბიოლენდი,204568146,68362
შპს I GPS ოპერატორი,404920289,67090
კონსულტაციისა და ტრენინგის ცენტრი,204888130,66917
გზამკვლევი 2001,404407496,65655
NEW STYLE,448047284,65570
საბურველი,225060821,64999
სს გამოფენების ცენტრი,201990104,64874
მენთეშ პროდაქშენი,404878110,64787
კორომი,224067729,64618
დიაგრამა,404917550,64277
ახალი ხედვა,202454744,63600
აგ კომპანი,226579887,63370
შპს რევა,448381313,63000
სისტემა,202062828,63000
ჯორჯია-საიდე,202460407,62994
შპს არტ ვიჟენი,445384986,62898
პარადისო,404877736,62472
ჯორჯიან გრუპი,412672273,61954
ელვაკომი,225393106,61700
ბორან ლაითი,206343492,61257
შპს სპეცმშენი,417873527,61209
რაში+,204562669,61170
CAIMAN,200154108,61080
შპს ელერ კომპანი,202452942,60998
კავკასუს აუტო ფართს,205295759,60921
აქსელი,404852977,60540
ევროტექ ჰაუზი,205210387,60325
შ.პ.ს საპროექტო,215590153,60019
ფარმანეტი,404890445,59700
შპს ჭიათურმანგანუმ ჯორჯია,215147874,59000
იკორთა_2007,205216327,58998
შ.პ.ს პროგრესი 2000,208211175,58758
ელდორადო,245539074,58150
ქეარ სერვის ჯგუფი,406030389,58013
თეგეტა პრემიუმ ვიიქელს,401950938,57808
საქართველოს ყრუთა კავშირი,201945574,57800
ოპტიმუმი,204480515,56656
#5 კლინიკური საავადმყოფო,200010674,55975
შპს მშენსერვისი - XXI,222014497,55860
აღმოსავლეთის ელექტროტექნიკური კომპანია,400005711,55100
მაგისტრი,205042130,54798
საქართველოს_საპატრიარქოს_წმიდა_იოაკიმესა_და_ანას _სახელობის_სამშობიარო_სახლი,203860811,54000
გლობალ მოტორს ჯორჯია-ჯი ემ ჯი,406043115,53900
შპს  გ.ნ.მ-2008,248434902,53500
კალიფსო თრეველი,205019745,53499
აჭარის ფუტზალის და საპლაჟო ფეხბურთის ფედერაცია,245625480,53400
კავშირი ბორჯომის ბავშვთა ფედერაცია,226109680,53200
ა.გ2000,404908285,53101
ლ-ნ,200229261,52842
შპსINSIGHT,215613405,52339
ანგისა,248382487,52213
შპს სახეები და სახელები,404872376,50950
GI Group,404398861,50905
ბათუმის ტურისტული სააგენტო,445388054,50859
შპს ნაკადული,217873237,50789
გსი ტექნოლოგია,202445746,50700
კო-ზა,404895976,50663
ამერიტექი,204527609,50301
პრემიერ პალასი,205282415,50150
საქართველოს სტრატეგიული კვლევების და განვითარების ცენტრი,204873618,49500
იბერიამოტორს,236090065,49000
მშენებელი,204999671,48380
ლ.დ. იუნიონ,205246517,48259
ჰეფი გრუპი,404882828,48000
შპს აჭარმოტორსი,248382931,48000
აკასტუდიო,401959591,47900
შპს ნენე,404970126,47278
ჯორჯიან ექსპრესი,201954965,47181
შპს ელვა,224080679,47176
ხახუტა,246755676,47090
შ.პ.ს. ვესტ-ცენტრი,231946231,46909
არქიდეა,202374028,46890
ანასეული,204575520,46889
შპს ჯორჯიან მიკროსისტემს,202268517,46500
შპს ქარდპრო,404882392,45811
აკა ჯგუფი,202449449,45590
ჯი ეს იუნიტი,205258219,45589
შპს პოლიმერკონტეინერი,244971090,45484
იბერია ტექნოლოჯი,204563873,45399
შპს საგანმანათლებლო ცენტრი უან ველდი,205085012,45323
შპს დიდი მინდორი,445387340,45140
სს APLR,404948438,45000
ინჟინერი,406043473,44760
ალბიონი,412670952,44400
აგრო,404902352,44000
ინტერდიზაინ+,204519547,43648
თულ სერვისი,400008184,43535
ტექნოგენ,205259655,42864
გლასფასადი,400016601,42616
არმა-კაპიტალი,245630508,42250
ხობმონტაჟმშენი,201954402,42185
ჯეოსელი,203841940,41966
გუდაური 2011,441483173,41500
სს  საზღვაო ჰოსპიტალი,245442695,41400
რუსთავის მუნიციპალური ავტოტრანსპორტის  საწარმო,216416180,41272
შპს ყველაფერი მშენებლობისთვის,404941239,41070
ფავორიტი სტუდიო,404379515,41030
შ.პ.ს ეითი,231241260,40976
რუსთავის საინფორმაციო ცენტრი,216398869,40899
მტს,246951259,40649
შპს I&N,404885013,40374
ქეთ ტურს,404887128,40100
ინფო ქოლი,205286509,40000
აჭარის ა.რ სპორტცეკვების ფედერაცია,245441598,40000
ონიგზა-99,237976516,39680
საქართველოს ჰიპერტონიის შემსწავლელი საზოგადოება,200082034,39515
ოლდ თაუნ ჰოსტელი,404870831,39200
ხელოვანთა კავშირი ხელოვანები მომავლისთვის,404387980,39113
შპს ვექტორი,229282424,39049
თორი,203868975,38915
შპს აგრო-მოლი,240420576,38800
ედბრენდი,205060306,38800
კავკასია-99,202062640,38695
დელტა,204440122,38244
საქართველოს მაცივარაგენტების შეგროვებისა და რეციკლირების ცენტრი,206203687,37919
შპს მარკეთ ინთელიჯენს კაუკასუს,204538580,37772
აგროსერვისი,245441561,37559
ლანდშაფტი და არქიტექტურა,404851790,37399
გემა,206205177,37200
გეომედიკა,202397931,37141
საქართველოს ეკონომისტთა ფორუმი,204553241,37000
სასადილო მადლი,233146388,36667
ნერგები,202274252,36475
Е2Е4,404398120,36438
შ.პ.ს ლ.პ და კომპანია,205188893,36370
შპს ვირაჟი,404425323,36171
სმარტექსი,202455850,35639
შიფა,245570868,35620
ჯი ენდ ჯი პროდაქშენ,404379481,35450
ენკომი,401951483,35430
შპს შვიდი ფერი,445407300,34720
ვოიაჟ.ჯე,205251145,34678
ჯიტეკი,205204438,34576
დიჯითი,404417831,34557
შპს ა.დ.მ.-ფარმა,205267478,34409
შპს ლიკო,406035589,34170
საქველმოქმედო ფონდი პარალელი,245562207,34150
ზურა ტატიშვილი,404868443,34076
შპს გეო-რენჯერ,204573817,33500
შპს უნიქოლორი,204447312,33426
ჯგუფი კახური საქმე,227771863,33095
აა პლასტი,206271826,33050
GLL,400033520,32400
სუპერი,205050905,32097
ოჯახის ექიმის სამედიცინო ცენტრი,205203386,31999
Crosslane  Investments limited-ის კანონიერი წარმომადგენლობა  კონსალტინგი და კომპანია",426519083,31998
ჩელე+,240420629,31900
"აუდიტი,205141309,31820
საქბინრემპროექტი,201953056,31639
შპს სტუდია არსი,205210136,31470
შ.პ.ს ალიანს კორ,202452586,31300
შ.პ.ს. ახვლედიანი ბიზნეს კონსალტინგი,205233200,31180
შპს ინტელკომ ჯგუფი,202441189,31099
შპს ნიუ ენჯინირინგ,206346051,30934
სანიტარი 2010,400005659,30406
წყალსერვისი,243572843,30333
შპს სტეპ-რეკორდს სტუდიო,205276930,30000
ტექნიკური აღრიცხვის სამსახური,205050335,30000
საქართველო,246954176,30000
შპს. MAQ AUTOPARTS,401953089,30000
დუღაბი,245546681,30000
ჯთ დიზაინ მეტალი,212920213,29990
ემ ჯი ჯგუფი,205204401,29880
შპს.გეო,248386562,29715
შპს ბეთერ ფლაი,205265979,29704
შ.პ.ს. აბული გ,246762301,29601
აჭარის წყალბურთის ფედერაცია,245628968,29550
შპს კოლორიტი,445389035,29292
პროფესიული კოლეჯი იკაროსი,211351071,29152
შპს თბომონტაჟჯგუფი,419986867,28735
იბერფუდი,400006220,28716
შპს მედკაპიტალი,205218030,28570
შპსსუფთა წყალი,205150655,28500
არმოლი,404387203,28150
შპს ლაგი 2009,206340565,28098
საქართველოს მედია ჰოლდინგი,404918513,28000
აუტოჰაუზ,204967991,28000
შპს რელე+,205263784,27940
კომპანია ტექნოლოგ-სერვისი,233644321,27119
შპს ჩირაღდანი,233108348,26919
ფინანსები,204909019,26618
შპს გეო ფიტნესი,205150717,26400
შპს გაინათი,244687629,26198
საქენერგომაში,205197810,26000
შპს ჰაიდელბერგ ჯორჯია,204565274,25619
გამაპრინტ,245622928,25550
ელ–სერვისი 2012,416298054,25360
გეოლოგია და მინერეალური რესურსები,205182746,25275
არტ აქტივი,404854314,25000
ტყეინვენტი,204980958,24989
შპს ბათტექნიკა,245436489,24840
შპს ჯი-მარტი,206343991,24524
HB ეიჩ ბი ჯორჯია,404379793,24445
მაგი სტილი,208149895,24320
შპს ხულოს ავტოსერვისი,248048544,24318
შპს ტემპი 777,404418162,24183
კპი საქართველო,400010796,24000
ჯი.ემ.სერვისი,404908427,23954
გამომცემლობა ნაკადული,212273467,23948
შ.პ.ს ნიკე 2009,243916615,23734
ბურჯი,445400101,23562
შპს MADE IN GERMANY,404927460,23120
აკორდი+,200273159,23069
ცოდნისა,211344188,23000
ბლუბერდ,404879271,22889
ბელუქსი პლიუსი,205289249,22731
სს კანისა და ვენსნეულებათა ს/კ ინსტიტუტი,202887108,22705
შპს დოქტორ ქლინინგი,404385599,22478
შპს Creative light,400071248,21999
ელენი,204971717,21987
შპს ბეკარა იმპორტს,406065485,21830
შპს ლუზი-კომპანი,245617346,21800
სპს ზურაბ ლეკიაშვილი რეაავტო-50,240391811,21500
კოკა-+,244691106,21489
ვეისმარკ,404378561,21440
ვი აი პი პრინტი,204567708,21158
დმს,404868728,21030
შპს ორიონი,230066629,21000
შპს ბეჭდვითი სახლი,206267485,20909
მეგა ქლინინგი,406024476,20888
შ.პ.ს პრიმა აუდიტი,206309582,20820
ჰელსი თ.ე.,205207391,20790
ბაო-2007,216447496,20779
"სპს საადვოკატო ბიურო კორძახია  ჟღენტი",204438162,20768
ინფოჯორჯია XXI,202177296,20701
ბონაკაუზა,204418692,20464
შპს საი გლობალ ჯორჯია,200192111,20000
შპს TRADE GENERAL,446953592,20000
საგზაო მოძრაობის უსაფრთხოების საექსპერტო ცენტრი,205068567,20000
კომილფო,404860414,19950
გზაპროექტი,245544638,19800
კახაბერი-2005,245523679,19800
დებიუტი,205152662,19640
შპს ბრიკეტი 2012,406076080,19130
შპს თამ-ენერჯი,206274501,19000
წითელქუდა 2008,245623222,18705
შპს მემონტაჟე,230032014,18666
Art Way,445413972,18500
კომპანია დე.ტა,224092372,18499
თი ენდ აი კომპანი,404887743,18111
ტეხნიკალი,200268496,18100
შპს  სამბიტი,224082098,17980
ასოციაცია ანიკა,204956903,17927
მესამე,204905503,17415
არქსტუდიო,404922134,17150
ევოკო ჯგუფი,202434703,17084
საქართველოს ექიმთა ასოციაცია,211374779,17000
შპს თალაკომპანი,202457171,16990
დონ იმპექსი,404855279,16940
შპს UNIVERSAL FILM PRODUCTION,404921180,16830
გამაპრომოტიონ,245629342,16400
შ.პ.ს. გზა 2007,248056357,16268
ინდუსტრია-2,204931244,16094
შპს არეალი,204531738,16000
შპს ტრანს 2007,205193324,15849
შპს ჯორჯიან ივენტს,206241057,15822
დი ენდ ჯი,404880483,15562
შპს მშენი,427717429,15550
შპს მაუნთლენდ,404884817,15500
გაა კონსალთინგი,205237242,15500
შპს სავანე ჯგუფი,200245555,15400
ეი.პი.ეს,236053140,15290
ტექნო ბრენდი,440388279,15197
live band,445407541,15150
შპს ირაო არტ,204536010,15000
შპს ლინორი,205273050,14983
ტონეტ,204460074,14972
გაბა+,440388082,14900
შპს ჰოსპიმედ ჯორჯია,206335704,14800
NOVAMED GEORGIA,445396884,14720
საბა 2007,226162951,14716
შპს რედ ინკ სტუდიო,205292191,14680
საჩხერის რაიონული საავადმყოფო პოლიკლინიკური გაერთიანება,239403463,14575
კახორი,404871983,14165
შპს აგარის შაქრის კომპანია,406031725,14090
ლოლი,404864562,14006
დასე,220415110,14000
ივერსი,205077593,14000
აგროგეო +,404880287,13959
ვატ–007,416288038,13929
შპს რეფერალური დახმარების ცენტრი,401946784,13600
აი-ეს-ეი სერვისი,211384839,13534
შ.პ.ს. საბა,212802109,13500
წყარო,412673085,13373
შპს ჯეოსვითს,206346284,13128
მედია მენეჯმენტ სერვისი,204513106,13000
შპსდათო 777,426109089,12870
ბი აი სოლუშენს,204561287,12850
თელავის მარანი,204969230,12705
ჯორჯიან ბეიქერს,202450640,12690
შპს ნადიგო,400005043,12604
ჯეო ბიზნეს ჯგუფი,220405611,12600
შპს AGA TRADING G,404956954,12549
შ.პ.ს. D&E,406041457,12509
შპს  vip servici,445387144,12385
შ.პ.ს  GMN GROUP,204555007,12150
42 გრადუსი,204533601,12100
შპს ენ ბი ოუ ახალი ბიზნეს შესაძლებლობები,205260055,12000
კვლევისა და განვითარების ასოციაცია,204953292,12000
ხადილი,205258317,11801
შპს GIO TEXTIL,447860342,11640
შპს ალექსანდრე სოხაძე,400024424,11509
სათავგადასავლო კლუბი ჯომარდი,202231806,11500
ემკონსალტინგი,400012197,11490
ერთობა 2012,412681717,11398
შპს ინტეგრირებული ბიზნეს გადაწყვეტილებები,205033444,11350
რელტო,406037042,11264
მეგაავტო,406030316,11000
კ.ერისთავის სახელობის ექსპერიმენტული და კლინიკური ქირურგიის ეროვნული ცენტრი,202051689,10900
ბიბლუსი,205254892,10890
შპს იბერტეკ გრუპი,445388394,10797
ბორან სოფქიმია,206337784,10720
შპს სკაინეტ,412676509,10500
ჟღენტი და ტრანსკომპანია,226523857,10500
DeviSport,404920993,10480
ჩაინა თრეიდ კომპანი,400020482,10384
აჭარის ავტონიმიური რესპუბლიკის ჭადრაკის ფედერაცია,245424704,10078
ალდაკი,205220848,10000
კაპიტელი,204898361,10000
ქართულ-აფხაზურ ურთიერთობათა ინსტიტუტი,203865255,10000
შპს არძანი,203840709,10000
შპს ფიფქი-2007,245588029,10000
საქართველოს სამთო გამყოლთა ასოციაცია,204419218,10000
აჭარის ინტელექტ-კლუბი,445393627,9995
შპს შხიროლი,206327321,9930
გროსო,206270417,9849
შ.პ.ს. ინტეგრა,400011866,9780
კავშირი კახა ბაკურაძის მოძრაობის თეატრი,205074809,9758
პროჯეკტ კომპანი,404892853,9718
შპს ავტოკლინიკა 011,448381037,9620
შპს პარტნიორები-საქართველო,204465961,9500
ააიპ საქ. ანესთეზიოლოგიის და კრიტიკული მედიცინის საზოგადოება,202290804,9470
კომპი +,406032056,9300
GEOMED,404385884,9259
აწყური+,206321880,9250
სასტუმრო ჩაო,245621590,9240
გრინ ეფლი ჯორჯია,404900531,9180
ფოთის ტელევიზიის მოყვარულთა კლუბი,215108283,9110
აქვა ტექნიკალ სისტემს,205243002,8900
განვითარებისა და თანამშრომლობის ხელშეწყობის კავშირი პროგრესი,245443097,8900
ფარმალაინი,404396701,8892
შპს ანანკე,205276510,8848
აბ ვიზიტ აჭარა,245439770,8847
ქართული სუვენირი,401960008,8800
მრეწვვენტილაცია,201951726,8748
საინფორმაციო ტექნოლოგიების ცენტრი მზიური,204870309,8600
შპს თბილისი იპოდრომ სერვისი,404869282,8300
შპს კლინიკა ჯანმრთელობა,247865270,8250
ფორ-მაქსი,406035678,8164
დელტა პლუს,417873135,8111
გლობალ სექიურითი,204468343,8100
საქართველოს ადგილობრივი თვითმმართველი ერთეულების ფინანსისტთა ასოციაცია,205234496,8000
შპს ფინანსური გადაწყვეტილებების ჯგუფი,205043344,7995
სინგულარ ჯგუფი,204577065,7886
GLI,445388072,7700
შპს აუდიტ-რეფორმატორი,205017907,7500
რამი,212853606,7500
შპს თიემპრინტ,204559931,7446
შპს ჩაო,445402617,7400
ჰო და არა,233646542,7320
შპს MARETI 2011,447860217,7200
ბიზოლ ჯორჯია,404863395,7160
ჯეონეთი,204918321,7000
შპს ჯეოგლობალი,404401063,6999
შპს ლაშვარდი,245619763,6997
გამომცემლობა მერიდიანი,200004850,6845
შპს ართ ქორნერ,404414120,6838
შპს ხულოს აფთიაქი,248049179,6799
ალფა+,202308056,6750
სტუდია თავისუფლება,406041830,6720
შპს AMG+,404916294,6700
სანდოკა,245595208,6649
სერვის რეინჯ ჰოლდინგი,200188046,6500
შ.პ.ს. ლუგი,431165437,6500
შპს გუდაური სქი რესორტ,204576066,6500
სამოქალაქო განვითარებისა და ინტეგრაციის ცენტრი,415081985,6400
პრინტ კოპი სერვისი,216430752,6297
ახალგაზრდები ჯანსაღი მომავლისათვის,445383451,6010
შპს დისქავერი,200100309,6000
დემა,417876677,6000
სუპერსეგვეი  საქართველო,205220786,6000
კესანო,415082243,5950
შპს დაგი 2010,401944544,5867
შპს აუდიტ-ცენტრი,201990989,5797
ნიკა+2009,205294144,5650
შპს სარი,206037698,5600
შპს ბომბორა,248386303,5550
შპს ბორჯომის საინჟინრო ცენტრი,226149842,5455
ლინკი,404895627,5450
შპს საქართველოს მეტროლოგიის ცენტრი,404941701,5300
მმ მშენი,446952165,5199
აიპ მდგრადი ენერგიების ცენტრი მზის სახლი,205183353,5094
შპს ბირთვი,438725239,5091
პაპირონი,224092568,5085
ჯი ვი ენდ კომპანი,200227968,5047
შპს printer.ge,404958319,5009
რენე +,200272702,5000
შპს ივერია ქსელი,202926076,4996
რაჭმშენი,237978168,4990
ელიტ აუდიტი,245627978,4950
ღვინის სახლი,205091283,4950
საქართველოს საზოგადოებრივ საქმეთა ინსტიტუტი,204429341,4900
ბრიფეა,205280612,4900
შპს საგზაო კომპანია,406077944,4800
სამშენებლო-საპროექტო ჯგუფი - მომავლის პროექტი - პრომო,215612120,4800
შ.პ.ს ვენდინგ ჯორჯია,204573167,4754
შპს რიგალი 2008,245622303,4700
შპს ხუროთმოძღვარი,236085847,4699
შპს ისანი-სამგორის რაიონის საბინაო კომუნალური მომსახურების სერვისული ცენტრი #90,206121542,4625
კოსმო თრეიდი,404864321,4612
შპს სანია,206339817,4450
ციფრული სამყარო,419984976,4440
შპს ტრანს 2,206330996,4285
ოქტან-მედეა,245560833,4213
კადასტრი XXI,236082092,4150
შპს პიქსელი,205160715,4000
შპს ჩუბინი,400052508,3998
შ.პ.ს. საკანცელარიო სამყარო მლ,212907041,3799
შპს ბარსონა,222937302,3700
დეიზი,249271167,3685
სპიდ მასტერი,404407094,3584
შპს ავტოტესტ გეორგია,204903747,3545
დიამედი,406027384,3430
საჩხერის კინო,439392239,3199
DGM MEDIA,204978596,3065
საქართველოს ინვალიდთა ფედერაცია აღორძინება 2002,212811126,3000
შპს ფავორიტი ედვერთისმენთ,404416128,3000
საქართველოს თეატრალური საზოგადოების შემოქმედებით კავშირი,203850412,3000
გლობალ კონტაქტ კონსალტინგი,204952275,2800
შპს ახალი განათლება,202058735,2770
შპს G&I group,446954190,2757
ხაშურის დეზინფექცის დეზინსექცის დერატიზაცის და სტერილიზაცის სამსახური,243861530,2699
შპს GIS,404888038,2650
ა(ა)იპ აჭარის ავტონომიური რესპუბლიკის საბრძოლო ხელოვნებათა კონფედერაცია,245629896,2500
ჯეო-ფლორა,202355138,2500
ბიზნეს ჯგუფი,400006088,2275
ჯი არ სი,205017578,2166
იმუნა,205051931,2150
პარაგონი,401954836,2109
შპს ო.ეს.ეს.ჯორჯია,204543333,2022
გლობუსი ემ-ბე,202446969,2000
შპს გამომცემლობა დიოგენე,204876090,2000
ეფ ემ ჯი კონსულტანტი,404857491,2000
სერვისექსპრეს+,404858542,1989
შ.პ.ს ოცნება,245403086,1980
ირქიანა,419982282,1957
გოდოლი +,202222638,1930
მზე-2006,212871828,1925
შპს ეისითი კომუნიკაციები,204495215,1900
შპს ჯიმედ სერვისი Gemed Service,404944003,1700
ჰარმონი ივენთს,204567922,1603
შპს ჯეო ელექტრიკ,401943527,1365
სს ბაგრატიონი-1882,209437885,1300
ავტო დახმარება,400021230,1200
ალტე ეგო-XXI,245625293,900
შპს INLIGHT,445399729,700
ქიზიყი,400018645,500
ეკო სითი,404901424,280
საქართველოს ბანკი,204378869,200
